week_start,geo_class,total_amount,transaction_count,distinct_donors
2024-06-03,unknown,6600,2,2
2024-06-10,dc_kstreet,37535,76,70
2024-06-10,in_district,66387,189,179
2024-06-10,in_state,146440,1124,1032
2024-06-10,in_state_out_district,97244,190,166
2024-06-10,out_of_state,520269,5133,4163
2024-06-10,unknown,8100,4,3
2024-06-17,dc_kstreet,38588,99,91
2024-06-17,in_district,80416,215,206
2024-06-17,in_state,127529,1058,979
2024-06-17,in_state_out_district,128644,224,198
2024-06-17,out_of_state,731348,6108,4982
2024-06-24,dc_kstreet,94036,219,179
2024-06-24,in_district,156127,391,360
2024-06-24,in_state,216460,1925,1723
2024-06-24,in_state_out_district,267196,454,396
2024-06-24,out_of_state,1037661,8837,6869
2024-06-24,unknown,12,1,1
2024-07-01,dc_kstreet,6939,73,68
2024-07-01,in_district,46118,129,120
2024-07-01,in_state,81264,939,863
2024-07-01,in_state_out_district,55374,146,130
2024-07-01,out_of_state,351511,7173,6042
2024-07-01,unknown,3300,1,1
2024-07-08,dc_kstreet,28365,83,72
2024-07-08,in_district,56349,206,189
2024-07-08,in_state,61307,967,904
2024-07-08,in_state_out_district,59302,221,193
2024-07-08,out_of_state,332689,5376,4318
2024-07-15,dc_kstreet,10563,70,63
2024-07-15,in_district,66525,259,233
2024-07-15,in_state,109076,1262,1144
2024-07-15,in_state_out_district,75810,225,187
2024-07-15,out_of_state,448949,7128,5635
2024-07-22,dc_kstreet,37805,126,118
2024-07-22,in_district,115238,273,244
2024-07-22,in_state,148535,1428,1311
2024-07-22,in_state_out_district,186615,319,268
2024-07-22,out_of_state,545659,7243,5532
2024-07-22,unknown,12,1,1
2024-07-29,dc_kstreet,23340,93,87
2024-07-29,in_district,116608,304,282
2024-07-29,in_state,162115,1624,1492
2024-07-29,in_state_out_district,134553,333,299
2024-07-29,out_of_state,568566,7151,5291
2024-08-05,dc_kstreet,31249,94,90
2024-08-05,in_district,121312,228,223
2024-08-05,in_state,121249,1121,1044
2024-08-05,in_state_out_district,122924,257,220
2024-08-05,out_of_state,529995,7659,6111
2024-08-12,dc_kstreet,16302,74,70
2024-08-12,in_district,86192,234,217
2024-08-12,in_state,136680,1281,1179
2024-08-12,in_state_out_district,136743,256,233
2024-08-12,out_of_state,469431,6882,5140
2024-08-12,unknown,500,1,1
2024-08-19,dc_kstreet,14875,86,79
2024-08-19,in_district,125008,274,251
2024-08-19,in_state,104738,1234,1144
2024-08-19,in_state_out_district,109145,284,224
2024-08-19,out_of_state,385086,6706,5087
2024-08-19,unknown,12,1,1
2024-08-26,dc_kstreet,13565,99,91
2024-08-26,in_district,174587,401,369
2024-08-26,in_state,109488,1643,1510
2024-08-26,in_state_out_district,190108,428,382
2024-08-26,out_of_state,524967,7783,5846
2024-08-26,unknown,1250,2,2
2024-09-02,dc_kstreet,13529,88,86
2024-09-02,in_district,128994,260,246
2024-09-02,in_state,128862,1305,1209
2024-09-02,in_state_out_district,183115,295,248
2024-09-02,out_of_state,527431,7815,6209
2024-09-09,dc_kstreet,26476,85,80
2024-09-09,in_district,158596,311,289
2024-09-09,in_state,128588,1287,1185
2024-09-09,in_state_out_district,157677,345,308
2024-09-09,out_of_state,664304,6417,4892
2024-09-09,unknown,500,1,1
2024-09-16,dc_kstreet,67664,121,112
2024-09-16,in_district,125345,324,295
2024-09-16,in_state,117786,1341,1248
2024-09-16,in_state_out_district,193235,401,342
2024-09-16,out_of_state,646755,7482,5678
2024-09-16,unknown,3300,1,1
2024-09-23,dc_kstreet,57212,159,146
2024-09-23,in_district,146078,380,345
2024-09-23,in_state,168144,1626,1497
2024-09-23,in_state_out_district,224422,491,418
2024-09-23,out_of_state,827153,7656,5810
2024-09-23,unknown,2012,2,2
2024-09-30,dc_kstreet,71184,162,133
2024-09-30,in_district,229850,552,500
2024-09-30,in_state,147950,1584,1438
2024-09-30,in_state_out_district,289766,593,517
2024-09-30,out_of_state,824570,9948,7547
2024-10-07,dc_kstreet,14971,76,66
2024-10-07,in_district,199990,402,373
2024-10-07,in_state,92105,1225,1130
2024-10-07,in_state_out_district,237960,503,436
2024-10-07,out_of_state,804212,8543,5733
2024-10-07,unknown,250,1,1
2024-10-14,dc_kstreet,21524,82,72
2024-10-14,in_district,199486,367,333
2024-10-14,in_state,160916,1315,1173
2024-10-14,in_state_out_district,237399,449,384
2024-10-14,out_of_state,831471,9756,6114
2024-10-14,unknown,1500,2,2
2024-10-21,dc_kstreet,18059,95,86
2024-10-21,in_district,169099,459,426
2024-10-21,in_state,151068,1543,1343
2024-10-21,in_state_out_district,238001,534,448
2024-10-21,out_of_state,897945,11287,6923
2024-10-21,unknown,512,2,2
2024-10-28,dc_kstreet,29510,122,102
2024-10-28,in_district,161183,504,452
2024-10-28,in_state,211686,1873,1573
2024-10-28,in_state_out_district,165440,513,409
2024-10-28,out_of_state,998590,13833,7558
2024-10-28,unknown,6600,2,2
2024-11-04,dc_kstreet,17466,75,65
2024-11-04,in_district,86471,222,208
2024-11-04,in_state,53208,695,607
2024-11-04,in_state_out_district,133164,314,242
2024-11-04,out_of_state,402012,8005,5319
2024-11-11,dc_kstreet,12497,33,31
2024-11-11,in_district,14259,31,29
2024-11-11,in_state,46791,513,453
2024-11-11,in_state_out_district,10570,38,21
2024-11-11,out_of_state,145833,2386,1745
2024-11-11,unknown,1500,1,1
2024-11-18,dc_kstreet,22985,36,30
2024-11-18,in_district,10138,21,19
2024-11-18,in_state,37859,480,433
2024-11-18,in_state_out_district,19346,27,20
2024-11-18,out_of_state,186118,2204,1602
2024-11-25,dc_kstreet,4613,33,28
2024-11-25,in_district,18984,21,19
2024-11-25,in_state,33605,696,638
2024-11-25,in_state_out_district,3147,18,11
2024-11-25,out_of_state,150405,2502,1876
2024-12-02,dc_kstreet,6552,32,30
2024-12-02,in_district,14915,29,28
2024-12-02,in_state,79608,536,492
2024-12-02,in_state_out_district,5813,20,18
2024-12-02,out_of_state,192836,2095,1540
2024-12-09,dc_kstreet,20570,29,28
2024-12-09,in_district,4965,9,9
2024-12-09,in_state,40840,529,474
2024-12-09,in_state_out_district,19149,18,14
2024-12-09,out_of_state,241042,2085,1557
2024-12-16,dc_kstreet,27973,42,32
2024-12-16,in_district,13223,19,17
2024-12-16,in_state,35701,531,483
2024-12-16,in_state_out_district,22060,26,22
2024-12-16,out_of_state,232061,1944,1505
2024-12-23,dc_kstreet,6224,27,22
2024-12-23,in_district,5754,9,8
2024-12-23,in_state,62319,543,499
2024-12-23,in_state_out_district,11235,21,13
2024-12-23,out_of_state,135896,2002,1517
2024-12-30,dc_kstreet,11094,16,16
2024-12-30,in_district,7214,11,10
2024-12-30,in_state,23209,263,241
2024-12-30,in_state_out_district,10555,17,15
2024-12-30,out_of_state,135957,732,563
2024-12-30,unknown,1500,1,1
