zip5,state,district,is_split,is_dc
99568,AK,0,False,False
99569,AK,0,False,False
99571,AK,0,False,False
99572,AK,0,False,False
99573,AK,0,False,False
99574,AK,0,False,False
99575,AK,0,False,False
99576,AK,0,False,False
99577,AK,0,False,False
99578,AK,0,False,False
99579,AK,0,False,False
99580,AK,0,False,False
99581,AK,0,False,False
99583,AK,0,False,False
99585,AK,0,False,False
99586,AK,0,False,False
99587,AK,0,False,False
99588,AK,0,False,False
99589,AK,0,False,False
99590,AK,0,False,False
99591,AK,0,False,False
99602,AK,0,False,False
99603,AK,0,False,False
99604,AK,0,False,False
99605,AK,0,False,False
99606,AK,0,False,False
99607,AK,0,False,False
99608,AK,0,False,False
99609,AK,0,False,False
99610,AK,0,False,False
99611,AK,0,False,False
99612,AK,0,False,False
99613,AK,0,False,False
99614,AK,0,False,False
99615,AK,0,False,False
99620,AK,0,False,False
99621,AK,0,False,False
99622,AK,0,False,False
99623,AK,0,False,False
99624,AK,0,False,False
99625,AK,0,False,False
99626,AK,0,False,False
99627,AK,0,False,False
99628,AK,0,False,False
99630,AK,0,False,False
99631,AK,0,False,False
99632,AK,0,False,False
99633,AK,0,False,False
99634,AK,0,False,False
99635,AK,0,False,False
99636,AK,0,False,False
99637,AK,0,False,False
99638,AK,0,False,False
99639,AK,0,False,False
99640,AK,0,False,False
99641,AK,0,False,False
99643,AK,0,False,False
99644,AK,0,False,False
99645,AK,0,False,False
99647,AK,0,False,False
99648,AK,0,False,False
99649,AK,0,False,False
99650,AK,0,False,False
99651,AK,0,False,False
99652,AK,0,False,False
99653,AK,0,False,False
99654,AK,0,False,False
99655,AK,0,False,False
99656,AK,0,False,False
99657,AK,0,False,False
99658,AK,0,False,False
99659,AK,0,False,False
99660,AK,0,False,False
99661,AK,0,False,False
99662,AK,0,False,False
99663,AK,0,False,False
99664,AK,0,False,False
99665,AK,0,False,False
99666,AK,0,False,False
99667,AK,0,False,False
99668,AK,0,False,False
99669,AK,0,False,False
99670,AK,0,False,False
99671,AK,0,False,False
99672,AK,0,False,False
99674,AK,0,False,False
99675,AK,0,False,False
99676,AK,0,False,False
99677,AK,0,False,False
99678,AK,0,False,False
99679,AK,0,False,False
99680,AK,0,False,False
99681,AK,0,False,False
99682,AK,0,False,False
99683,AK,0,False,False
99684,AK,0,False,False
99685,AK,0,False,False
99686,AK,0,False,False
99688,AK,0,False,False
99689,AK,0,False,False
99690,AK,0,False,False
99691,AK,0,False,False
99692,AK,0,False,False
99693,AK,0,False,False
99694,AK,0,False,False
99695,AK,0,False,False
99701,AK,0,False,False
99702,AK,0,False,False
